row_number,source_trades_id,legacy_source_trade_id,historical_transaction_hash,upstream_source_provided_id,canonical_source_trade_id,immutable_fields_match,legacy_row_exists_once,canonical_collision,dependency_count,migration_state,migration_applied,post_migration_canonical_exists_once,legacy_id_absent_after,immutable_fields_unchanged,replay_would_insert
1,cd9792a1-9a6d-433d-a6cf-732da746ffc8,polymarket:11ae80be5e1566fda292d78b0150629ef29c828a1ed3c6df81bc00ba8b9ffe90,polymarket:e0c9d495b892a136f1053473e3cb96d4a721e1fce7bb46bf1019d911ad441dbb,polymarket:e0c9d495b892a136f1053473e3cb96d4a721e1fce7bb46bf1019d911ad441dbb,polymarket:e0c9d495b892a136f1053473e3cb96d4a721e1fce7bb46bf1019d911ad441dbb,True,False,False,0,ALL_CANONICAL,False,True,True,True,False
2,ec18a0b9-ff69-4d10-ae35-0a663058449d,polymarket:9b9b74c36aec602b1fd5dc43d10664b8ecee3254a8af9c1b65bc92d333e26a75,polymarket:9b811fe6d9f115c5c23d9e73c960e2566ad7e442cfff3d5215d8c16a15705671,polymarket:9b811fe6d9f115c5c23d9e73c960e2566ad7e442cfff3d5215d8c16a15705671,polymarket:9b811fe6d9f115c5c23d9e73c960e2566ad7e442cfff3d5215d8c16a15705671,True,False,False,0,ALL_CANONICAL,False,True,True,True,False
3,99e23c0a-18cb-4615-bcc5-d4a95b013f80,polymarket:bd05d2c65e8c76b3017e2ae76b917311dfca8eb64d80b31c0c35f4dc6bdca54c,polymarket:781e5be438576fb655f4eb233474ad0da25d5213d432c100ce574dcb0a8bbb32,polymarket:781e5be438576fb655f4eb233474ad0da25d5213d432c100ce574dcb0a8bbb32,polymarket:781e5be438576fb655f4eb233474ad0da25d5213d432c100ce574dcb0a8bbb32,True,False,False,0,ALL_CANONICAL,False,True,True,True,False
4,56f2162a-4a77-4282-88b1-73f9f0b6c4de,polymarket:bf5384d36afcfb132658b11e703d79a088f9b5821a02290d0652216fb6c8958f,polymarket:a5a0a5c73e49717c2e3c062fc01edb8f24ff64437d76972ab3271c505e4083f6,polymarket:a5a0a5c73e49717c2e3c062fc01edb8f24ff64437d76972ab3271c505e4083f6,polymarket:a5a0a5c73e49717c2e3c062fc01edb8f24ff64437d76972ab3271c505e4083f6,True,False,False,0,ALL_CANONICAL,False,True,True,True,False
5,6384a2cb-79c1-45c0-bfbd-09c8fb7f48a6,polymarket:e9bd9ceacfb86240db805877269795d95773868a4fe497f92d76bd43cdd18536,polymarket:c113f439b543445b928acef06737eec10caf4c5239261ac31df5e2ec73cbea33,polymarket:c113f439b543445b928acef06737eec10caf4c5239261ac31df5e2ec73cbea33,polymarket:c113f439b543445b928acef06737eec10caf4c5239261ac31df5e2ec73cbea33,True,False,False,0,ALL_CANONICAL,False,True,True,True,False
6,97939aa9-3eb6-45d4-b3b5-7ad5abb8b1a8,polymarket:b3fbc4a16770ccde262588878b8d52169550098e92aa0c2e7ea54a22b3c99943,polymarket:ef34763e25be92c60b4d16a26d696fc819ea059ac374c23660bec1445efc7153,polymarket:ef34763e25be92c60b4d16a26d696fc819ea059ac374c23660bec1445efc7153,polymarket:ef34763e25be92c60b4d16a26d696fc819ea059ac374c23660bec1445efc7153,True,False,False,0,ALL_CANONICAL,False,True,True,True,False
7,7d7d9129-c204-49ba-b01d-2cd1dccc7ec7,polymarket:1c69cda9e635a0e8e483c148c89c26cdbfa7953785f8c99f9b5d0ccbafd557a3,polymarket:de8b24e7e5b04c4840ee889d13cde943f0995f9eecef633712f9be256f406a22,polymarket:de8b24e7e5b04c4840ee889d13cde943f0995f9eecef633712f9be256f406a22,polymarket:de8b24e7e5b04c4840ee889d13cde943f0995f9eecef633712f9be256f406a22,True,False,False,0,ALL_CANONICAL,False,True,True,True,False
8,329132b6-d365-4e61-8b16-88558dd611da,polymarket:afc7a199a17cfc3a12588e6457299e6ea8cc73d6d162f1883fe91f4d46077e86,polymarket:87750f305c61d53ed0c80b86f0e62a8a3d281ce67fcbe8c6ba821ec240e85334,polymarket:87750f305c61d53ed0c80b86f0e62a8a3d281ce67fcbe8c6ba821ec240e85334,polymarket:87750f305c61d53ed0c80b86f0e62a8a3d281ce67fcbe8c6ba821ec240e85334,True,False,False,0,ALL_CANONICAL,False,True,True,True,False
9,a0684f7d-24a8-425d-8246-5bf520a3463c,polymarket:74f08b2cf54cd9170ed2a18d452198b1e3155cab6162fb96b2e428f3eb51a210,polymarket:e6dfc3d111e9f8996097206c2a2477ccf5ef0ec2075c94f05155fbcbb2961ec8,polymarket:e6dfc3d111e9f8996097206c2a2477ccf5ef0ec2075c94f05155fbcbb2961ec8,polymarket:e6dfc3d111e9f8996097206c2a2477ccf5ef0ec2075c94f05155fbcbb2961ec8,True,False,False,0,ALL_CANONICAL,False,True,True,True,False
10,70dc3b7d-c692-4206-83d5-5b532ee63db9,polymarket:d638d2140198a51f5796078389cff4ce936f983aa8522c5b28b6ec8d552a0607,polymarket:fa060215882d411ad30307f3877f07a49b9dac4f83d4b3cc89130017f53a75be,polymarket:fa060215882d411ad30307f3877f07a49b9dac4f83d4b3cc89130017f53a75be,polymarket:fa060215882d411ad30307f3877f07a49b9dac4f83d4b3cc89130017f53a75be,True,False,False,0,ALL_CANONICAL,False,True,True,True,False
11,97f33e3b-201e-4169-b566-cc47e771e3f8,polymarket:763644f6c36eba47a92ec9c4c01ec10c6dfb4d9ad87503a718c01f9a493f71ca,polymarket:ec13850bbc33b1a1cc3174fcadd5f01bbb769101a8055dc43ceee734b94181e3,polymarket:ec13850bbc33b1a1cc3174fcadd5f01bbb769101a8055dc43ceee734b94181e3,polymarket:ec13850bbc33b1a1cc3174fcadd5f01bbb769101a8055dc43ceee734b94181e3,True,False,False,0,ALL_CANONICAL,False,True,True,True,False
12,6f744a93-6a7a-47fd-9ce2-503df7ba6928,polymarket:ec5d86981161be068734dcde26c957a16c4584f4c2c8bbb1856b77b5f7d96ecd,polymarket:bbe760b9f65f383737473acc2d25fadc1d7152bb6759d4fc4320311b60564481,polymarket:bbe760b9f65f383737473acc2d25fadc1d7152bb6759d4fc4320311b60564481,polymarket:bbe760b9f65f383737473acc2d25fadc1d7152bb6759d4fc4320311b60564481,True,False,False,0,ALL_CANONICAL,False,True,True,True,False
13,02eb876c-9783-463c-bbd5-2c7d1712a1c3,polymarket:d84dbf96d8e00266b6de83a0604a0da425ab32441ab2d1c18223f51a5be7c106,polymarket:81965b4867e0f41564a0e938006678638a4d7c5fb643c5bf8e33aed87bd18ebd,polymarket:81965b4867e0f41564a0e938006678638a4d7c5fb643c5bf8e33aed87bd18ebd,polymarket:81965b4867e0f41564a0e938006678638a4d7c5fb643c5bf8e33aed87bd18ebd,True,False,False,0,ALL_CANONICAL,False,True,True,True,False
14,95749834-8522-4fe6-978a-3ae862e82878,polymarket:ccbcc9265c2d3578f6dc5732fef92f88b1f864d4ceaa380b6aa670afc5ec6d18,polymarket:a2d2bdb1c64c651760ff93d4fc2c6e91850bdf6adc729c4edbf9ed3d3f2e9d38,polymarket:a2d2bdb1c64c651760ff93d4fc2c6e91850bdf6adc729c4edbf9ed3d3f2e9d38,polymarket:a2d2bdb1c64c651760ff93d4fc2c6e91850bdf6adc729c4edbf9ed3d3f2e9d38,True,False,False,0,ALL_CANONICAL,False,True,True,True,False
