row_number,report_source,db_source,source_match,report_source_trade_id,db_source_trade_id,source_trade_id_match,report_market_source_id,db_market_source_id,market_source_id_match,report_token_id,db_token_id,token_id_match,report_trader_address,db_trader_address,trader_address_match,report_side,db_side,side_match,report_outcome,db_outcome,outcome_match,report_quantity,db_quantity,quantity_match,report_price,db_price,price_match,report_timestamp,db_timestamp,timestamp_match,report_is_sample,db_is_sample,is_sample_match,placeholder_pattern_detected,placeholder_pattern_reasons,all_fields_match,gate_existing_db_source_trade_id,gate_historical_fallback_source_trade_id,gate_upstream_source_provided_trade_id,gate_corrected_canonical_strong_id,gate_existing_id_equals_corrected_id,gate_legacy_fallback_alias_matches_existing,gate_recognized_as_existing,gate_would_insert_on_rerun
1,polymarket_data_api_trades_user,polymarket_data_api_trades_user,True,polymarket:11ae80be5e1566fda292d78b0150629ef29c828a1ed3c6df81bc00ba8b9ffe90,polymarket:11ae80be5e1566fda292d78b0150629ef29c828a1ed3c6df81bc00ba8b9ffe90,True,0x29283b56d3eec6d1d89fff51793d9d2e01579d2379b1d3e9ebda175d3561e809,0x29283b56d3eec6d1d89fff51793d9d2e01579d2379b1d3e9ebda175d3561e809,True,81633484456710374417231462107666791993850637546563366185897100962157481970040,81633484456710374417231462107666791993850637546563366185897100962157481970040,True,0xcac76b761231464900cce5da7c20233d59b20579,0xcac76b761231464900cce5da7c20233d59b20579,True,BUY,BUY,True,Yes,Yes,True,180.0,180.0,True,0.007,0.007,True,2026-07-10T04:05:40+00:00,2026-07-10T04:05:40+00:00,True,0,0,True,False,,True,polymarket:11ae80be5e1566fda292d78b0150629ef29c828a1ed3c6df81bc00ba8b9ffe90,polymarket:11ae80be5e1566fda292d78b0150629ef29c828a1ed3c6df81bc00ba8b9ffe90,polymarket:11ae80be5e1566fda292d78b0150629ef29c828a1ed3c6df81bc00ba8b9ffe90,polymarket:11ae80be5e1566fda292d78b0150629ef29c828a1ed3c6df81bc00ba8b9ffe90,True,False,True,0
2,polymarket_data_api_trades_user,polymarket_data_api_trades_user,True,polymarket:9b9b74c36aec602b1fd5dc43d10664b8ecee3254a8af9c1b65bc92d333e26a75,polymarket:9b9b74c36aec602b1fd5dc43d10664b8ecee3254a8af9c1b65bc92d333e26a75,True,0x46dbd48d6bde5b81edb480e0f676a2cdda6c6b592c4d86a9367c7ad5a9870195,0x46dbd48d6bde5b81edb480e0f676a2cdda6c6b592c4d86a9367c7ad5a9870195,True,63802361760137863513735993346883582181207639895442036953936089060482564982249,63802361760137863513735993346883582181207639895442036953936089060482564982249,True,0xcac76b761231464900cce5da7c20233d59b20579,0xcac76b761231464900cce5da7c20233d59b20579,True,BUY,BUY,True,No,No,True,200.0,200.0,True,0.993,0.993,True,2026-07-10T03:23:53+00:00,2026-07-10T03:23:53+00:00,True,0,0,True,False,,True,polymarket:9b9b74c36aec602b1fd5dc43d10664b8ecee3254a8af9c1b65bc92d333e26a75,polymarket:9b9b74c36aec602b1fd5dc43d10664b8ecee3254a8af9c1b65bc92d333e26a75,polymarket:9b9b74c36aec602b1fd5dc43d10664b8ecee3254a8af9c1b65bc92d333e26a75,polymarket:9b9b74c36aec602b1fd5dc43d10664b8ecee3254a8af9c1b65bc92d333e26a75,True,False,True,0
3,polymarket_data_api_trades_user,polymarket_data_api_trades_user,True,polymarket:bd05d2c65e8c76b3017e2ae76b917311dfca8eb64d80b31c0c35f4dc6bdca54c,polymarket:bd05d2c65e8c76b3017e2ae76b917311dfca8eb64d80b31c0c35f4dc6bdca54c,True,0xc586d15be76278848a26c761c2fcf70f8cebca71815cfab83e656ff5c6ec13a9,0xc586d15be76278848a26c761c2fcf70f8cebca71815cfab83e656ff5c6ec13a9,True,56215025902031889702122383201324191240581604266667334383154318117703136383150,56215025902031889702122383201324191240581604266667334383154318117703136383150,True,0xcac76b761231464900cce5da7c20233d59b20579,0xcac76b761231464900cce5da7c20233d59b20579,True,BUY,BUY,True,No,No,True,160.0,160.0,True,0.993,0.993,True,2026-07-10T03:03:41+00:00,2026-07-10T03:03:41+00:00,True,0,0,True,False,,True,polymarket:bd05d2c65e8c76b3017e2ae76b917311dfca8eb64d80b31c0c35f4dc6bdca54c,polymarket:bd05d2c65e8c76b3017e2ae76b917311dfca8eb64d80b31c0c35f4dc6bdca54c,polymarket:bd05d2c65e8c76b3017e2ae76b917311dfca8eb64d80b31c0c35f4dc6bdca54c,polymarket:bd05d2c65e8c76b3017e2ae76b917311dfca8eb64d80b31c0c35f4dc6bdca54c,True,False,True,0
4,polymarket_data_api_trades_user,polymarket_data_api_trades_user,True,polymarket:bf5384d36afcfb132658b11e703d79a088f9b5821a02290d0652216fb6c8958f,polymarket:bf5384d36afcfb132658b11e703d79a088f9b5821a02290d0652216fb6c8958f,True,0xfd6176f8c9a59105f80e060a77c4099881c5f2d9e0ceab88e55cf978462fab7f,0xfd6176f8c9a59105f80e060a77c4099881c5f2d9e0ceab88e55cf978462fab7f,True,4999047257294547885970323631312419427544062131054733229841947946130772277335,4999047257294547885970323631312419427544062131054733229841947946130772277335,True,0xcac76b761231464900cce5da7c20233d59b20579,0xcac76b761231464900cce5da7c20233d59b20579,True,BUY,BUY,True,Yes,Yes,True,220.0,220.0,True,0.007,0.007,True,2026-07-09T23:42:23+00:00,2026-07-09T23:42:23+00:00,True,0,0,True,False,,True,polymarket:bf5384d36afcfb132658b11e703d79a088f9b5821a02290d0652216fb6c8958f,polymarket:bf5384d36afcfb132658b11e703d79a088f9b5821a02290d0652216fb6c8958f,polymarket:bf5384d36afcfb132658b11e703d79a088f9b5821a02290d0652216fb6c8958f,polymarket:bf5384d36afcfb132658b11e703d79a088f9b5821a02290d0652216fb6c8958f,True,False,True,0
5,polymarket_data_api_trades_user,polymarket_data_api_trades_user,True,polymarket:e9bd9ceacfb86240db805877269795d95773868a4fe497f92d76bd43cdd18536,polymarket:e9bd9ceacfb86240db805877269795d95773868a4fe497f92d76bd43cdd18536,True,0x29283b56d3eec6d1d89fff51793d9d2e01579d2379b1d3e9ebda175d3561e809,0x29283b56d3eec6d1d89fff51793d9d2e01579d2379b1d3e9ebda175d3561e809,True,114507466536734360808195115190160357255467689128176113085692265197019898971527,114507466536734360808195115190160357255467689128176113085692265197019898971527,True,0xcac76b761231464900cce5da7c20233d59b20579,0xcac76b761231464900cce5da7c20233d59b20579,True,BUY,BUY,True,No,No,True,210.0,210.0,True,0.994,0.994,True,2026-07-09T16:47:40+00:00,2026-07-09T16:47:40+00:00,True,0,0,True,False,,True,polymarket:e9bd9ceacfb86240db805877269795d95773868a4fe497f92d76bd43cdd18536,polymarket:e9bd9ceacfb86240db805877269795d95773868a4fe497f92d76bd43cdd18536,polymarket:e9bd9ceacfb86240db805877269795d95773868a4fe497f92d76bd43cdd18536,polymarket:e9bd9ceacfb86240db805877269795d95773868a4fe497f92d76bd43cdd18536,True,False,True,0
6,polymarket_data_api_trades_user,polymarket_data_api_trades_user,True,polymarket:b3fbc4a16770ccde262588878b8d52169550098e92aa0c2e7ea54a22b3c99943,polymarket:b3fbc4a16770ccde262588878b8d52169550098e92aa0c2e7ea54a22b3c99943,True,0xe883f2fda25a605a184bb5fe583afce6cc21ea0b348b6a3728ec3067553c548d,0xe883f2fda25a605a184bb5fe583afce6cc21ea0b348b6a3728ec3067553c548d,True,108650988487983371520585351370999192979899647080710024226285750050382033453124,108650988487983371520585351370999192979899647080710024226285750050382033453124,True,0xcac76b761231464900cce5da7c20233d59b20579,0xcac76b761231464900cce5da7c20233d59b20579,True,BUY,BUY,True,No,No,True,210.0,210.0,True,0.991,0.991,True,2026-07-09T12:54:28+00:00,2026-07-09T12:54:28+00:00,True,0,0,True,False,,True,polymarket:b3fbc4a16770ccde262588878b8d52169550098e92aa0c2e7ea54a22b3c99943,polymarket:b3fbc4a16770ccde262588878b8d52169550098e92aa0c2e7ea54a22b3c99943,polymarket:b3fbc4a16770ccde262588878b8d52169550098e92aa0c2e7ea54a22b3c99943,polymarket:b3fbc4a16770ccde262588878b8d52169550098e92aa0c2e7ea54a22b3c99943,True,False,True,0
7,polymarket_data_api_trades_user,polymarket_data_api_trades_user,True,polymarket:1c69cda9e635a0e8e483c148c89c26cdbfa7953785f8c99f9b5d0ccbafd557a3,polymarket:1c69cda9e635a0e8e483c148c89c26cdbfa7953785f8c99f9b5d0ccbafd557a3,True,0xa9549c44687993a9a154347c6907092341459b927efaa3f2b49009ca2c4e40a1,0xa9549c44687993a9a154347c6907092341459b927efaa3f2b49009ca2c4e40a1,True,23692929455124171734375794579007643086071570310019729232490607671061438183936,23692929455124171734375794579007643086071570310019729232490607671061438183936,True,0xcac76b761231464900cce5da7c20233d59b20579,0xcac76b761231464900cce5da7c20233d59b20579,True,BUY,BUY,True,Yes,Yes,True,190.0,190.0,True,0.009,0.009,True,2026-07-09T09:28:47+00:00,2026-07-09T09:28:47+00:00,True,0,0,True,False,,True,polymarket:1c69cda9e635a0e8e483c148c89c26cdbfa7953785f8c99f9b5d0ccbafd557a3,polymarket:1c69cda9e635a0e8e483c148c89c26cdbfa7953785f8c99f9b5d0ccbafd557a3,polymarket:1c69cda9e635a0e8e483c148c89c26cdbfa7953785f8c99f9b5d0ccbafd557a3,polymarket:1c69cda9e635a0e8e483c148c89c26cdbfa7953785f8c99f9b5d0ccbafd557a3,True,False,True,0
8,polymarket_data_api_trades_user,polymarket_data_api_trades_user,True,polymarket:afc7a199a17cfc3a12588e6457299e6ea8cc73d6d162f1883fe91f4d46077e86,polymarket:afc7a199a17cfc3a12588e6457299e6ea8cc73d6d162f1883fe91f4d46077e86,True,0x9d4f94f82de9d13ff1d3318639ab9000ee2533949e525343156f374fb00bd9b1,0x9d4f94f82de9d13ff1d3318639ab9000ee2533949e525343156f374fb00bd9b1,True,58378309871183461257693288827678410871907006920578755035402846056315798427503,58378309871183461257693288827678410871907006920578755035402846056315798427503,True,0xcac76b761231464900cce5da7c20233d59b20579,0xcac76b761231464900cce5da7c20233d59b20579,True,BUY,BUY,True,Yes,Yes,True,210.0,210.0,True,0.01,0.01,True,2026-07-09T06:44:29+00:00,2026-07-09T06:44:29+00:00,True,0,0,True,False,,True,polymarket:afc7a199a17cfc3a12588e6457299e6ea8cc73d6d162f1883fe91f4d46077e86,polymarket:afc7a199a17cfc3a12588e6457299e6ea8cc73d6d162f1883fe91f4d46077e86,polymarket:afc7a199a17cfc3a12588e6457299e6ea8cc73d6d162f1883fe91f4d46077e86,polymarket:afc7a199a17cfc3a12588e6457299e6ea8cc73d6d162f1883fe91f4d46077e86,True,False,True,0
9,polymarket_data_api_trades_user,polymarket_data_api_trades_user,True,polymarket:74f08b2cf54cd9170ed2a18d452198b1e3155cab6162fb96b2e428f3eb51a210,polymarket:74f08b2cf54cd9170ed2a18d452198b1e3155cab6162fb96b2e428f3eb51a210,True,0x8b203037c7c0e21b500314f8398d2a8ea294b7ce1f4f9185f426425a3505bc45,0x8b203037c7c0e21b500314f8398d2a8ea294b7ce1f4f9185f426425a3505bc45,True,46254744034025107660239982269249567113656697231872036621777316158933638064598,46254744034025107660239982269249567113656697231872036621777316158933638064598,True,0xcac76b761231464900cce5da7c20233d59b20579,0xcac76b761231464900cce5da7c20233d59b20579,True,BUY,BUY,True,No,No,True,180.0,180.0,True,0.993,0.993,True,2026-07-09T04:28:14+00:00,2026-07-09T04:28:14+00:00,True,0,0,True,False,,True,polymarket:74f08b2cf54cd9170ed2a18d452198b1e3155cab6162fb96b2e428f3eb51a210,polymarket:74f08b2cf54cd9170ed2a18d452198b1e3155cab6162fb96b2e428f3eb51a210,polymarket:74f08b2cf54cd9170ed2a18d452198b1e3155cab6162fb96b2e428f3eb51a210,polymarket:74f08b2cf54cd9170ed2a18d452198b1e3155cab6162fb96b2e428f3eb51a210,True,False,True,0
10,polymarket_data_api_trades_user,polymarket_data_api_trades_user,True,polymarket:d638d2140198a51f5796078389cff4ce936f983aa8522c5b28b6ec8d552a0607,polymarket:d638d2140198a51f5796078389cff4ce936f983aa8522c5b28b6ec8d552a0607,True,0x6685b25cc7c89032efcdf81eb27fdc6bbf04a3e4299bcd99c9f3d62c8471001e,0x6685b25cc7c89032efcdf81eb27fdc6bbf04a3e4299bcd99c9f3d62c8471001e,True,54840717483866263964304723492966182979723045222316848733193673523986124053075,54840717483866263964304723492966182979723045222316848733193673523986124053075,True,0xcac76b761231464900cce5da7c20233d59b20579,0xcac76b761231464900cce5da7c20233d59b20579,True,BUY,BUY,True,Yes,Yes,True,300.0,300.0,True,0.005,0.005,True,2026-07-09T03:38:52+00:00,2026-07-09T03:38:52+00:00,True,0,0,True,False,,True,polymarket:d638d2140198a51f5796078389cff4ce936f983aa8522c5b28b6ec8d552a0607,polymarket:d638d2140198a51f5796078389cff4ce936f983aa8522c5b28b6ec8d552a0607,polymarket:d638d2140198a51f5796078389cff4ce936f983aa8522c5b28b6ec8d552a0607,polymarket:d638d2140198a51f5796078389cff4ce936f983aa8522c5b28b6ec8d552a0607,True,False,True,0
11,polymarket_data_api_trades_user,polymarket_data_api_trades_user,True,polymarket:763644f6c36eba47a92ec9c4c01ec10c6dfb4d9ad87503a718c01f9a493f71ca,polymarket:763644f6c36eba47a92ec9c4c01ec10c6dfb4d9ad87503a718c01f9a493f71ca,True,0xa9549c44687993a9a154347c6907092341459b927efaa3f2b49009ca2c4e40a1,0xa9549c44687993a9a154347c6907092341459b927efaa3f2b49009ca2c4e40a1,True,30050897091642315762983745166096629857367320723415212749446858994810226049012,30050897091642315762983745166096629857367320723415212749446858994810226049012,True,0xcac76b761231464900cce5da7c20233d59b20579,0xcac76b761231464900cce5da7c20233d59b20579,True,BUY,BUY,True,No,No,True,190.0,190.0,True,0.992,0.992,True,2026-07-09T02:53:37+00:00,2026-07-09T02:53:37+00:00,True,0,0,True,False,,True,polymarket:763644f6c36eba47a92ec9c4c01ec10c6dfb4d9ad87503a718c01f9a493f71ca,polymarket:763644f6c36eba47a92ec9c4c01ec10c6dfb4d9ad87503a718c01f9a493f71ca,polymarket:763644f6c36eba47a92ec9c4c01ec10c6dfb4d9ad87503a718c01f9a493f71ca,polymarket:763644f6c36eba47a92ec9c4c01ec10c6dfb4d9ad87503a718c01f9a493f71ca,True,False,True,0
12,polymarket_data_api_trades_user,polymarket_data_api_trades_user,True,polymarket:ec5d86981161be068734dcde26c957a16c4584f4c2c8bbb1856b77b5f7d96ecd,polymarket:ec5d86981161be068734dcde26c957a16c4584f4c2c8bbb1856b77b5f7d96ecd,True,0x8b203037c7c0e21b500314f8398d2a8ea294b7ce1f4f9185f426425a3505bc45,0x8b203037c7c0e21b500314f8398d2a8ea294b7ce1f4f9185f426425a3505bc45,True,46254744034025107660239982269249567113656697231872036621777316158933638064598,46254744034025107660239982269249567113656697231872036621777316158933638064598,True,0xcac76b761231464900cce5da7c20233d59b20579,0xcac76b761231464900cce5da7c20233d59b20579,True,BUY,BUY,True,No,No,True,210.0,210.0,True,0.993,0.993,True,2026-07-08T21:55:11+00:00,2026-07-08T21:55:11+00:00,True,0,0,True,False,,True,polymarket:ec5d86981161be068734dcde26c957a16c4584f4c2c8bbb1856b77b5f7d96ecd,polymarket:ec5d86981161be068734dcde26c957a16c4584f4c2c8bbb1856b77b5f7d96ecd,polymarket:ec5d86981161be068734dcde26c957a16c4584f4c2c8bbb1856b77b5f7d96ecd,polymarket:ec5d86981161be068734dcde26c957a16c4584f4c2c8bbb1856b77b5f7d96ecd,True,False,True,0
13,polymarket_data_api_trades_user,polymarket_data_api_trades_user,True,polymarket:d84dbf96d8e00266b6de83a0604a0da425ab32441ab2d1c18223f51a5be7c106,polymarket:d84dbf96d8e00266b6de83a0604a0da425ab32441ab2d1c18223f51a5be7c106,True,0xbbbece074c2d4010e39e39c85ed67b1131180fcea616073c893fb6beaf51d783,0xbbbece074c2d4010e39e39c85ed67b1131180fcea616073c893fb6beaf51d783,True,1970496541508335019913900195809032484597886384784144327835472760880523550630,1970496541508335019913900195809032484597886384784144327835472760880523550630,True,0xcac76b761231464900cce5da7c20233d59b20579,0xcac76b761231464900cce5da7c20233d59b20579,True,BUY,BUY,True,No,No,True,180.0,180.0,True,0.993,0.993,True,2026-07-08T17:50:25+00:00,2026-07-08T17:50:25+00:00,True,0,0,True,False,,True,polymarket:d84dbf96d8e00266b6de83a0604a0da425ab32441ab2d1c18223f51a5be7c106,polymarket:d84dbf96d8e00266b6de83a0604a0da425ab32441ab2d1c18223f51a5be7c106,polymarket:d84dbf96d8e00266b6de83a0604a0da425ab32441ab2d1c18223f51a5be7c106,polymarket:d84dbf96d8e00266b6de83a0604a0da425ab32441ab2d1c18223f51a5be7c106,True,False,True,0
14,polymarket_data_api_trades_user,polymarket_data_api_trades_user,True,polymarket:ccbcc9265c2d3578f6dc5732fef92f88b1f864d4ceaa380b6aa670afc5ec6d18,polymarket:ccbcc9265c2d3578f6dc5732fef92f88b1f864d4ceaa380b6aa670afc5ec6d18,True,0x01dffa7abae7e5d9b7fb44b06d537c5ac932e2ca422ab4b53366672f5e2dc7d6,0x01dffa7abae7e5d9b7fb44b06d537c5ac932e2ca422ab4b53366672f5e2dc7d6,True,104431860535489654020481219089291817898241901940037260095979653681449084465327,104431860535489654020481219089291817898241901940037260095979653681449084465327,True,0xcac76b761231464900cce5da7c20233d59b20579,0xcac76b761231464900cce5da7c20233d59b20579,True,BUY,BUY,True,No,No,True,200.0,200.0,True,0.992,0.992,True,2026-07-08T13:25:38+00:00,2026-07-08T13:25:38+00:00,True,0,0,True,False,,True,polymarket:ccbcc9265c2d3578f6dc5732fef92f88b1f864d4ceaa380b6aa670afc5ec6d18,polymarket:ccbcc9265c2d3578f6dc5732fef92f88b1f864d4ceaa380b6aa670afc5ec6d18,polymarket:ccbcc9265c2d3578f6dc5732fef92f88b1f864d4ceaa380b6aa670afc5ec6d18,polymarket:ccbcc9265c2d3578f6dc5732fef92f88b1f864d4ceaa380b6aa670afc5ec6d18,True,False,True,0
